League,Team,GP,Pts,PPG_Last_8,PPG_All
Israel - Leumit League,Hapoel Raanana,36,40,0.88,1.11
Israel - Leumit League,H. Nof Hagalil,36,32,1.25,0.89
Israel - Leumit League,Hapoel Afula,36,26,1.0,0.72
Israel - Leumit League,H. Umm al-Fahm,36,23,1.0,0.64
Italy - Serie A,Napoli,35,77,2.5,2.2
Italy - Serie A,Inter Milan,35,74,2.0,2.11
Italy - Serie A,Atalanta,35,68,1.63,1.94
Italy - Serie A,Juventus,35,63,1.38,1.8
Italy - Serie A,AS Roma,35,63,2.5,1.8
Italy - Serie A,Lazio,35,63,1.63,1.8
Italy - Serie A,Bologna,36,62,1.5,1.72
Italy - Serie A,AC Milan,36,60,2.0,1.67
Italy - Serie A,Fiorentina,35,59,1.75,1.69
Italy - Serie A,Como,35,45,2.13,1.29
Italy - Serie A,Torino,35,44,1.25,1.26
Italy - Serie A,Udinese,35,44,0.63,1.26
Italy - Serie A,Genoa,35,39,1.0,1.11
Italy - Serie A,Cagliari,35,33,1.0,0.94
Italy - Serie A,Hellas Verona,35,32,0.75,0.91
Italy - Serie A,Parma,35,32,1.13,0.91
Italy - Serie A,Lecce,35,27,0.25,0.77
Italy - Serie A,Venezia,35,26,1.0,0.74
Italy - Serie A,Empoli,35,25,0.38,0.71
Italy - Serie A,Monza,35,15,0.13,0.43
Italy - Serie B,Sassuolo,37,82,2.0,2.22
Italy - Serie B,Pisa,37,73,2.0,1.97
Italy - Serie B,Spezia,37,63,1.13,1.7
Italy - Serie B,Cremonese,37,61,2.0,1.65
Italy - Serie B,Juve Stabia,37,54,1.75,1.46
Italy - Serie B,Catanzaro,37,52,1.13,1.41
Italy - Serie B,Palermo,37,51,1.5,1.38
Italy - Serie B,Cesena,37,50,1.13,1.35
Italy - Serie B,Bari,37,47,1.0,1.27
Italy - Serie B,Sudtirol,37,45,1.5,1.22
Italy - Serie B,Modena,37,45,1.25,1.22
Italy - Serie B,Carrarese,37,44,1.5,1.19
Italy - Serie B,Reggiana,37,44,1.63,1.19
Italy - Serie B,Mantova,37,43,1.63,1.16
Italy - Serie B,Brescia,37,40,1.13,1.08
Italy - Serie B,Frosinone,37,40,1.25,1.08
Italy - Serie B,Sampdoria,37,40,1.13,1.08
Italy - Serie B,Salernitana,37,39,1.25,1.05
Italy - Serie B,Cittadella,37,39,0.75,1.05
Italy - Serie B,Cosenza,37,30,0.63,0.92
Italy - Serie C - Group A,Padova,38,86,1.75,2.26
Italy - Serie C - Group A,Vicenza,38,83,2.0,2.18
Italy - Serie C - Group A,FeralpiSalo,38,72,2.0,1.89
Italy - Serie C - Group A,AlbinoLeffe,38,60,2.0,1.58
Italy - Serie C - Group A,Renate,38,60,2.38,1.58
Italy - Serie C - Group A,Atalanta B,38,57,1.88,1.5
Italy - Serie C - Group A,Trento,38,57,1.63,1.5
Italy - Serie C - Group A,Giana Erminio,38,57,1.75,1.5
Italy - Serie C - Group A,Virtus Verona,38,56,1.25,1.47
Italy - Serie C - Group A,Arzignano,38,53,1.88,1.39
Italy - Serie C - Group A,Novara,38,52,1.25,1.42
Italy - Serie C - Group A,Alcione,38,47,0.75,1.24
Italy - Serie C - Group A,Lecco,38,43,1.13,1.13
Italy - Serie C - Group A,Pergolettese,38,42,0.75,1.11
Italy - Serie C - Group A,Lumezzane,38,42,0.5,1.11
Italy - Serie C - Group A,Triestina,38,39,1.13,1.16
Italy - Serie C - Group A,Pro Vercelli,38,37,0.75,0.97
Italy - Serie C - Group A,Pro Patria,38,34,1.38,0.89
Italy - Serie C - Group A,Caldiero Terme,38,33,1.38,0.87
Italy - Serie C - Group A,Clodiense,38,21,0.38,0.55
Italy - Serie C - Group B,Entella,38,83,2.0,2.18
Italy - Serie C - Group B,Ternana,38,74,1.38,2.0
Italy - Serie C - Group B,Torres,38,68,1.38,1.79
Italy - Serie C - Group B,Pescara,38,67,1.63,1.76
Italy - Serie C - Group B,Arezzo,38,64,1.88,1.68
Italy - Serie C - Group B,Vis Pesaro,38,58,1.0,1.53
Italy - Serie C - Group B,Pineto,38,57,1.5,1.5
Italy - Serie C - Group B,Pianese,38,53,1.13,1.39
Italy - Serie C - Group B,Rimini,38,51,1.38,1.39
Italy - Serie C - Group B,Pontedera,38,48,1.5,1.26
Italy - Serie C - Group B,Gubbio,38,48,1.38,1.26
Italy - Serie C - Group B,Perugia,38,47,1.75,1.24
Italy - Serie C - Group B,Athletic Carpi,38,44,1.0,1.16
Italy - Serie C - Group B,Campobasso,38,43,1.25,1.13
Italy - Serie C - Group B,Ascoli,38,40,0.88,1.05
Italy - Serie C - Group B,Lucchese,38,39,1.75,1.18
Italy - Serie C - Group B,SPAL,38,35,1.25,1.0
Italy - Serie C - Group B,AC Milan B,38,34,1.38,0.89
Italy - Serie C - Group B,Sestri Levante,38,31,1.0,0.82
Italy - Serie C - Group B,Legnago Salus,38,29,0.75,0.76
Japan - J1 League,Kashima Antlers,15,31,1.88,2.07
Japan - J1 League,Kashiwa Reysol,15,30,2.25,2.0
Japan - J1 League,Kyoto Sanga,16,27,1.88,1.69
Japan - J1 League,Urawa RD,15,25,2.25,1.67
Japan - J1 League,S. Hiroshima,14,23,1.5,1.64
Japan - J1 League,Gamba Osaka,15,23,1.63,1.53
Japan - J1 League,Shimizu S-Pulse,15,21,1.25,1.4
Japan - J1 League,Vissel Kobe,14,21,1.88,1.5
Japan - J1 League,Avispa Fukuoka,16,21,1.0,1.31
Japan - J1 League,Machida Zelvia,15,20,0.88,1.33
Japan - J1 League,Tokyo Verdy,15,20,1.5,1.33
Japan - J1 League,Cerezo Osaka,15,19,1.63,1.27
Japan - J1 League,FC Tokyo,15,19,1.5,1.27
Japan - J1 League,Fagiano Okayama,16,19,1.0,1.19
Japan - J1 League,K. Frontale,12,18,1.38,1.5
Japan - J1 League,Shonan Bellmare,15,18,0.88,1.2
Japan - J1 League,Nagoya G.,15,15,1.25,1.0
Japan - J1 League,Yokohama FC,15,15,1.0,1.0
Japan - J1 League,Albirex Niigata,14,12,1.13,0.86
Japan - J1 League,Yokohama M.,12,8,0.63,0.67
Japan - J2 League,JEF Utd Chiba,14,32,1.75,2.29
Japan - J2 League,Omiya Ardija,15,30,1.88,2.0
Japan - J2 League,Vegalta Sendai,15,28,2.13,1.87
Japan - J2 League,FC Imabari,14,25,1.75,1.79
Japan - J2 League,Mito Hollyhock,14,23,2.13,1.64
Japan - J2 League,Tokushima V.,14,22,1.63,1.57
Japan - J2 League,Oita Trinita,14,21,1.75,1.5
Japan - J2 League,Jubilo Iwata,14,21,1.13,1.5
Japan - J2 League,Sagan Tosu,14,21,1.75,1.5
Japan - J2 League,V-V. Nagasaki,14,20,0.75,1.43
Japan - J2 League,M. Yamagata,14,16,1.13,1.14
Japan - J2 League,R. Kumamoto,14,16,1.13,1.14
Japan - J2 League,Ventforet Kofu,14,16,1.5,1.14
Japan - J2 League,C. Sapporo,14,16,1.25,1.14
Japan - J2 League,Fujieda MYFC,14,15,0.75,1.07
Japan - J2 League,Kataller Toyama,14,14,0.5,1.0
Japan - J2 League,Iwaki,14,14,1.38,1.0
Japan - J2 League,Blaublitz Akita,14,13,0.88,0.93
Japan - J2 League,R. Yamaguchi,14,11,0.75,0.79
Japan - J2 League,Ehime FC,14,9,1.0,0.64
Japan - J3 League,Tochigi City,12,25,2.25,2.08
Japan - J3 League,Osaka,12,25,1.88,2.08
Japan - J3 League,T. Miyazaki,12,22,1.88,1.83
Japan - J3 League,V. Hachinohe,12,21,2.13,1.75
Japan - J3 League,Kagoshima Utd,12,20,1.63,1.67
Japan - J3 League,G. Kitakyushu,12,20,1.38,1.67
Japan - J3 League,Nara Club,12,19,1.5,1.58
Japan - J3 League,Fukushima Utd,12,18,1.38,1.5
Japan - J3 League,Z. Kanazawa,12,17,1.25,1.42
Japan - J3 League,Tochigi SC,12,15,1.38,1.25
Japan - J3 League,Matsumoto Y.,11,15,1.63,1.36
Japan - J3 League,SC Sagamihara,12,14,1.0,1.17
Japan - J3 League,Kamatamare S.,12,13,1.0,1.08
Japan - J3 League,Kusatsu,12,13,1.13,1.08
Japan - J3 League,Gifu,12,13,1.13,1.08
Japan - J3 League,Kochi United,12,12,1.0,1.0
Japan - J3 League,Nagano Parceiro,11,11,0.63,1.0
Japan - J3 League,FC Ryukyu,12,10,1.13,0.83
Japan - J3 League,Gainare Tottori,12,10,1.0,0.83
Japan - J3 League,AC Numazu,12,9,0.38,0.75
Kazakhstan - Premier League,Kairat Almaty,9,23,2.75,2.56
Kazakhstan - Premier League,FC Astana,8,18,2.25,2.25
Kazakhstan - Premier League,Aktobe,7,16,2.29,2.29
Kazakhstan - Premier League,Tobol,7,14,2.0,2.0
Kazakhstan - Premier League,Yelimay Semey,7,13,1.86,1.86
Kazakhstan - Premier League,Okzhetpes,7,11,1.57,1.57
Kazakhstan - Premier League,Ordabasy,7,11,1.57,1.57
Kazakhstan - Premier League,Turan,7,8,1.14,1.14
Kazakhstan - Premier League,Kyzylzhar,7,8,1.14,1.14
Kazakhstan - Premier League,Zhenys,8,5,0.63,0.63
Kazakhstan - Premier League,Kaisar K.,7,4,0.57,0.57
Kazakhstan - Premier League,Zhetysu,7,4,0.57,0.57
Kazakhstan - Premier League,Atyrau,9,3,0.0,0.33
Kazakhstan - Premier League,Ulytau,7,2,0.29,0.29
Lithuania - A Lyga,Kauno Zalgiris,11,21,2.13,1.91
Lithuania - A Lyga,Hegelmann L.,10,21,2.25,2.1
Lithuania - A Lyga,Suduva,10,18,1.5,1.8
Lithuania - A Lyga,Dziugas Telsiai,11,18,1.5,1.64
Lithuania - A Lyga,Siauliai,10,15,1.38,1.5
Lithuania - A Lyga,Zalgiris,11,15,1.25,1.36
Lithuania - A Lyga,Banga,10,14,1.38,1.4
Lithuania - A Lyga,Panevezys,10,11,1.38,1.1
Lithuania - A Lyga,Riteriai,11,10,1.0,0.91
Lithuania - A Lyga,Dainava,10,2,0.13,0.2
Malaysia - Super League,Johor Darul,24,70,3.0,2.92
Malaysia - Super League,Selangor,24,52,2.13,2.17
Malaysia - Super League,Sabah,24,40,1.38,1.67
Malaysia - Super League,Kuching,24,39,2.13,1.63
Malaysia - Super League,Terengganu,24,35,1.38,1.46
Malaysia - Super League,Kuala Lumpur,24,31,1.75,1.54
Malaysia - Super League,Perak,24,30,1.5,1.25
Malaysia - Super League,Pahang,24,29,1.63,1.21
Malaysia - Super League,PDRM,24,27,0.75,1.13
Malaysia - Super League,Pulau Pinang,24,26,1.5,1.08
Malaysia - Super League,Kedah,24,21,0.5,1.0
Malaysia - Super League,Negeri Sembilan,24,16,0.88,0.67
Malaysia - Super League,Kelantan United,24,7,0.0,0.29
Malta - Premier League,Floriana,27,54,1.88,2.0
Malta - Premier League,Birkirkara,27,51,1.75,1.89
Malta - Premier League,Sliema,27,48,1.5,1.78
Malta - Premier League,Hibernians,27,44,1.75,1.63
Malta - Premier League,Hamrun Spartans,27,41,1.25,1.52
Malta - Premier League,Marsaxlokk,27,40,1.63,1.48
Malta - Premier League,Mosta,27,38,2.0,1.41
Malta - Premier League,Gzira Utd,27,34,1.0,1.26
Malta - Premier League,Zabbar,27,28,1.0,1.04
Malta - Premier League,Melita,27,28,0.75,1.04
Malta - Premier League,Balzan,27,22,0.88,0.81
Malta - Premier League,Naxxar Lions,27,22,1.25,0.81
Mexico - Liga MX - Apertura,Cruz Azul,17,42,2.5,2.47
Mexico - Liga MX - Apertura,Toluca,17,35,2.13,2.06
Mexico - Liga MX - Apertura,Tigres,17,34,1.75,2.0
Mexico - Liga MX - Apertura,Pumas UNAM,17,31,1.88,1.82
Mexico - Liga MX - Apertura,Monterrey,17,31,1.5,1.82
Mexico - Liga MX - Apertura,A. San Luis,17,30,2.0,1.76
Mexico - Liga MX - Apertura,Tijuana,17,29,1.88,1.71
Mexico - Liga MX - Apertura,CF America,17,27,1.75,1.59
Mexico - Liga MX - Apertura,Guadalajara,17,25,1.38,1.47
Mexico - Liga MX - Apertura,Atlas,17,22,1.0,1.29
Mexico - Liga MX - Apertura,Club Leon,17,18,1.38,1.06
Mexico - Liga MX - Apertura,Juarez,17,17,1.63,1.0
Mexico - Liga MX - Apertura,Necaxa,17,15,0.38,0.88
Mexico - Liga MX - Apertura,Mazatlan,17,14,0.88,0.82
Mexico - Liga MX - Apertura,Puebla,17,14,0.38,0.82
Mexico - Liga MX - Apertura,Pachuca,17,13,0.5,0.76
Mexico - Liga MX - Apertura,Queretaro,17,12,1.0,0.71
Mexico - Liga MX - Apertura,Santos Laguna,17,10,0.25,0.59
Mexico - Liga MX - Clausura,Toluca,17,37,2.38,2.18
Mexico - Liga MX - Clausura,CF America,17,34,1.75,2.0
Mexico - Liga MX - Clausura,Cruz Azul,17,33,2.0,1.94
Mexico - Liga MX - Clausura,Tigres,17,33,2.13,1.94
Mexico - Liga MX - Clausura,Necaxa,17,31,1.63,1.82
Mexico - Liga MX - Clausura,Club Leon,17,30,0.88,1.76
Mexico - Liga MX - Clausura,Monterrey,17,28,2.0,1.65
Mexico - Liga MX - Clausura,Pachuca,17,28,1.5,1.65
Mexico - Liga MX - Clausura,Juarez,17,24,1.0,1.41
Mexico - Liga MX - Clausura,Pumas UNAM,17,21,1.25,1.24
Mexico - Liga MX - Clausura,Guadalajara,17,21,1.25,1.24
Mexico - Liga MX - Clausura,Queretaro,17,20,1.63,1.18
Mexico - Liga MX - Clausura,Tijuana,17,19,1.5,1.12
Mexico - Liga MX - Clausura,Atlas,17,18,1.38,1.06
Mexico - Liga MX - Clausura,A. San Luis,17,18,1.5,1.06
Mexico - Liga MX - Clausura,Mazatlan,17,17,0.75,1.0
Mexico - Liga MX - Clausura,Puebla,17,9,0.13,0.53
Mexico - Liga MX - Clausura,Santos Laguna,17,7,0.38,0.41
Netherlands - Eredivisie,Ajax Amsterdam,31,74,2.13,2.39
Netherlands - Eredivisie,PSV Eindhoven,31,70,2.25,2.26
Netherlands - Eredivisie,Feyenoord,31,65,2.75,2.1
Netherlands - Eredivisie,FC Utrecht,31,62,2.38,2.0
Netherlands - Eredivisie,FC Twente,31,51,1.13,1.65
Netherlands - Eredivisie,AZ Alkmaar,31,50,0.88,1.61
Netherlands - Eredivisie,Go Ahead Eagles,31,47,1.5,1.52
Netherlands - Eredivisie,Heerenveen,31,40,1.63,1.29
Netherlands - Eredivisie,FC Groningen,31,38,1.38,1.23
Netherlands - Eredivisie,Heracles Almelo,32,38,1.38,1.19
Netherlands - Eredivisie,Fortuna Sittard,31,36,1.25,1.16
Netherlands - Eredivisie,Sparta,31,35,1.88,1.13
Netherlands - Eredivisie,NEC Nijmegen,31,34,1.13,1.1
Netherlands - Eredivisie,PEC Zwolle,31,34,1.13,1.1
Netherlands - Eredivisie,NAC Breda,31,32,0.63,1.03
Netherlands - Eredivisie,Willem II,32,25,0.13,0.78
Netherlands - Eredivisie,Almere City,31,20,0.75,0.65
Netherlands - Eredivisie,RKC Waalwijk,31,19,0.25,0.61
Netherlands - Eerste Divisie,FC Volendam,38,82,2.25,2.16
Netherlands - Eerste Divisie,Excelsior,38,74,2.63,1.95
Netherlands - Eerste Divisie,Cambuur,38,71,2.0,1.87
Netherlands - Eerste Divisie,ADO Den Haag,38,70,1.88,1.84
Netherlands - Eerste Divisie,FC Dordrecht,38,68,1.88,1.79
Netherlands - Eerste Divisie,De Graafschap,38,65,1.63,1.71
Netherlands - Eerste Divisie,Telstar,38,61,2.13,1.61
Netherlands - Eerste Divisie,FC Emmen,38,56,1.5,1.47
Netherlands - Eerste Divisie,FC Den Bosch,38,55,1.5,1.45
Netherlands - Eerste Divisie,Jong AZ,38,52,1.63,1.37
Netherlands - Eerste Divisie,FC Eindhoven,38,51,1.5,1.34
Netherlands - Eerste Divisie,Roda JC,38,49,0.5,1.29
Netherlands - Eerste Divisie,Helmond Sport,38,46,0.5,1.21
Netherlands - Eerste Divisie,VVV,38,41,1.38,1.08
Netherlands - Eerste Divisie,MVV Maastricht,38,40,0.88,1.05
Netherlands - Eerste Divisie,TOP Oss,38,38,1.13,1.0
Netherlands - Eerste Divisie,Jong Ajax,38,36,0.63,0.95
Netherlands - Eerste Divisie,Jong PSV,38,30,0.88,0.79
Netherlands - Eerste Divisie,Jong Utrecht,38,23,0.63,0.61
Netherlands - Eerste Divisie,Vitesse Arnhem,38,5,1.13,1.16
Northern Ireland - NIFL Premiership,Linfield,38,85,2.25,2.24
Northern Ireland - NIFL Premiership,Larne,38,63,1.75,1.66
Northern Ireland - NIFL Premiership,Glentoran,38,61,1.13,1.61
Northern Ireland - NIFL Premiership,Cliftonville,38,58,2.0,1.53
Northern Ireland - NIFL Premiership,Dungannon,38,57,1.38,1.5
Northern Ireland - NIFL Premiership,Portadown,38,56,1.75,1.47
Northern Ireland - NIFL Premiership,Coleraine,38,55,1.38,1.45
Northern Ireland - NIFL Premiership,Crusaders,38,54,1.0,1.42
Northern Ireland - NIFL Premiership,Ballymena Utd,38,47,0.88,1.24
Northern Ireland - NIFL Premiership,Glenavon,38,46,1.0,1.21
Northern Ireland - NIFL Premiership,Carrick Rangers,38,32,0.75,0.84
Northern Ireland - NIFL Premiership,Loughgall,38,22,1.0,0.58
Norway - Eliteserien,Brann,6,15,2.5,2.5
Norway - Eliteserien,Viking,7,14,2.0,2.0
Norway - Eliteserien,Rosenborg,6,14,2.33,2.33
Norway - Eliteserien,Bodo.Glimt,4,10,2.5,2.5
Norway - Eliteserien,Fredrikstad,5,10,2.0,2.0
Norway - Eliteserien,Kristiansund,7,10,1.43,1.43
Norway - Eliteserien,Sandefjord,5,9,1.8,1.8
Norway - Eliteserien,Sarpsborg 08,5,8,1.6,1.6
Norway - Eliteserien,Valerenga,6,7,1.17,1.17
Norway - Eliteserien,Stromsgodset,6,6,1.0,1.0
Norway - Eliteserien,Molde,5,5,1.0,1.0
Norway - Eliteserien,Tromso,5,4,0.8,0.8
Norway - Eliteserien,KFUM Oslo,5,4,0.8,0.8
Norway - Eliteserien,HamKam,5,4,0.8,0.8
Norway - Eliteserien,Bryne,5,3,0.6,0.6
Norway - Eliteserien,Haugesund,6,1,0.17,0.17
Norway - 1st Division,Lillestrom,5,13,2.6,2.6
Norway - 1st Division,Egersund,5,13,2.6,2.6
Norway - 1st Division,Kongsvinger,5,10,2.0,2.0
Norway - 1st Division,Aalesund,5,9,1.8,1.8
Norway - 1st Division,Start,5,9,1.8,1.8
Norway - 1st Division,Sogndal,5,9,1.8,1.8
Norway - 1st Division,Odd,5,7,1.4,1.4
Norway - 1st Division,Raufoss,5,7,1.4,1.4
Norway - 1st Division,Hodd,5,7,1.4,1.4
Norway - 1st Division,Stabaek,5,7,1.4,1.4
Norway - 1st Division,Ranheim,5,6,1.2,1.2
Norway - 1st Division,Moss,5,6,1.2,1.2
Norway - 1st Division,Asane,5,5,1.0,1.0
Norway - 1st Division,Lyn,5,3,0.6,0.6
Norway - 1st Division,Mjondalen,5,2,0.4,0.4
Norway - 1st Division,Skeid,5,0,0.0,0.0
Paraguay - Primera Div. - Apertura,Libertad,17,36,1.63,2.12
Paraguay - Primera Div. - Apertura,Guarani,17,32,2.0,1.88
Paraguay - Primera Div. - Apertura,Olimpia,17,29,1.5,1.71
Paraguay - Primera Div. - Apertura,Cerro Porteno,17,28,1.75,1.65
Paraguay - Primera Div. - Apertura,S. Trinidense,18,24,1.5,1.33
Paraguay - Primera Div. - Apertura,S. Ameliano,17,21,1.13,1.24
Paraguay - Primera Div. - Apertura,D. Recoleta,17,21,1.25,1.24
Paraguay - Primera Div. - Apertura,G. Caballero,17,18,0.75,1.06
Paraguay - Primera Div. - Apertura,Nacional,18,18,1.25,1.0
Paraguay - Primera Div. - Apertura,A. Tembetary,18,17,0.88,0.94
Paraguay - Primera Div. - Apertura,S. Luqueno,17,17,1.0,1.0
Paraguay - Primera Div. - Apertura,2 de Mayo,18,15,0.75,0.83
Paraguay - Division Intermedia,D. Capiata,7,11,1.57,1.57
Paraguay - Division Intermedia,San Lorenzo,7,11,1.57,1.57
Paraguay - Division Intermedia,Guairena,7,11,1.57,1.57
Paraguay - Division Intermedia,Rubio Nu,7,11,1.57,1.57
Paraguay - Division Intermedia,S. Carapegua,7,10,1.43,1.43
Paraguay - Division Intermedia,Tacuary,6,10,1.67,1.67
Paraguay - Division Intermedia,Independiente,6,9,1.5,1.5
Paraguay - Division Intermedia,12 de Junio VH,7,9,1.29,1.29
Paraguay - Division Intermedia,Pastoreo,6,8,1.33,1.33
Paraguay - Division Intermedia,F. de la Mora,6,8,1.33,1.33
Paraguay - Division Intermedia,Resistencia,6,7,1.17,1.17
Paraguay - Division Intermedia,Guarani de Fram,7,6,0.86,0.86
Paraguay - Division Intermedia,D. Santani,6,6,1.0,1.0
Paraguay - Division Intermedia,Sol de America,6,6,1.0,1.0
Paraguay - Division Intermedia,Encarnacion,6,5,0.83,0.83
Paraguay - Division Intermedia,C. River Plate,7,4,0.57,0.57
Peru - Liga 1 - Apertura,Universitario,10,23,2.38,2.3
Peru - Liga 1 - Apertura,D. Garcilaso,11,20,1.63,1.82
Peru - Liga 1 - Apertura,FBC Melgar,10,20,1.75,2.0
Peru - Liga 1 - Apertura,Sport Huancayo,11,19,1.63,1.73
Peru - Liga 1 - Apertura,Alianza Lima,10,19,2.0,1.9
Peru - Liga 1 - Apertura,ADT,11,18,1.38,1.64
Peru - Liga 1 - Apertura,Alianza A.,10,16,1.63,1.6
Peru - Liga 1 - Apertura,Cusco,10,16,2.0,1.6
Peru - Liga 1 - Apertura,S. Cristal,10,16,1.5,1.6
Peru - Liga 1 - Apertura,Sport Boys,11,16,1.25,1.45
Peru - Liga 1 - Apertura,Cienciano,10,13,1.5,1.3
Peru - Liga 1 - Apertura,Binacional,11,12,1.13,1.09
Peru - Liga 1 - Apertura,Los Chankas,10,11,1.13,1.1
Peru - Liga 1 - Apertura,Cajamarca,10,11,1.38,1.1
Peru - Liga 1 - Apertura,Atletico Grau,9,10,0.88,1.11
Peru - Liga 1 - Apertura,Comerciantes U.,10,8,0.88,0.8
Peru - Liga 1 - Apertura,Juan Pablo II C,9,7,0.88,0.78
Peru - Liga 1 - Apertura,Ayacucho,11,6,0.38,0.55
Peru - Liga 1 - Apertura,A. Huanuco,10,6,0.63,0.6
Poland - Ekstraklasa,Rakow C.,31,65,2.38,2.1
Poland - Ekstraklasa,Lech Poznan,31,63,2.0,2.03
Poland - Ekstraklasa,Jagiellonia,31,56,1.38,1.81
Poland - Ekstraklasa,Pogon Szczecin,30,53,1.75,1.77
Poland - Ekstraklasa,Legia Warsaw,30,50,1.75,1.67
Poland - Ekstraklasa,Gornik Zabrze,32,46,1.13,1.44
Poland - Ekstraklasa,Cracovia Krakow,31,45,0.88,1.45
Poland - Ekstraklasa,Korona Kielce,31,43,1.75,1.39
Poland - Ekstraklasa,Motor Lublin,31,43,1.0,1.39
Poland - Ekstraklasa,Katowice,31,42,1.5,1.35
Poland - Ekstraklasa,Piast Gliwice,32,42,1.13,1.31
Poland - Ekstraklasa,Widzew Lodz,30,37,1.38,1.23
Poland - Ekstraklasa,Radomiak Radom,31,37,1.5,1.19
Poland - Ekstraklasa,Lechia Gdansk,31,33,1.5,1.06
Poland - Ekstraklasa,Zaglebie Lubin,31,33,1.38,1.06
Poland - Ekstraklasa,Slask Wroclaw,32,28,1.63,0.88
Poland - Ekstraklasa,Puszcza Niepolo,31,27,0.63,0.87
Poland - Ekstraklasa,Stal Mielec,31,26,0.38,0.84
Poland - 1. Liga,Arka Gdynia,31,68,2.5,2.19
Poland - 1. Liga,T. Nieciecza,31,62,1.75,2.0
Poland - 1. Liga,Wisla Plock,31,57,1.75,1.84
Poland - 1. Liga,Wisla Krakow,32,56,2.38,1.75
Poland - 1. Liga,Miedz Legnica,31,56,1.75,1.81
Poland - 1. Liga,Polonia Warszaw,31,52,2.13,1.68
Poland - 1. Liga,Tychy,32,49,2.13,1.53
Poland - 1. Liga,Gornik Leczna,31,47,1.75,1.52
Poland - 1. Liga,Znicz Pruszkow,32,46,1.38,1.44
Poland - 1. Liga,Ruch Chorzow,31,46,1.25,1.48
Poland - 1. Liga,LKS Lodz,31,41,1.25,1.32
Poland - 1. Liga,Stal Rzeszow,31,35,0.13,1.13
Poland - 1. Liga,K. Kolobrzeg,31,29,1.13,0.94
Poland - 1. Liga,Odra Opole,31,27,0.88,0.87
Poland - 1. Liga,Chrobry Glogow,31,26,0.63,0.84
Poland - 1. Liga,Pogon Siedlce,31,23,1.5,0.74
Poland - 1. Liga,Stalowa Wola,32,23,1.0,0.72
Poland - 1. Liga,Warta Poznan,31,21,0.13,0.68
Portugal - Liga Portugal,Sporting CP,32,78,2.75,2.44
Portugal - Liga Portugal,Benfica,32,78,2.75,2.44
Portugal - Liga Portugal,FC Porto,32,65,1.88,2.03
Portugal - Liga Portugal,Sporting Braga,32,65,2.25,2.03
Portugal - Liga Portugal,Guimaraes,32,54,2.38,1.69
Portugal - Liga Portugal,Santa Clara,32,51,1.5,1.59
Portugal - Liga Portugal,Famalicao,32,44,1.63,1.38
Portugal - Liga Portugal,Casa Pia,32,42,0.75,1.31
Portugal - Liga Portugal,Estoril,32,42,1.0,1.31
Portugal - Liga Portugal,Moreirense,32,36,1.13,1.13
Portugal - Liga Portugal,Rio Ave,32,36,0.88,1.13
Portugal - Liga Portugal,Arouca,32,34,1.13,1.06
Portugal - Liga Portugal,Nacional,32,33,0.88,1.03
Portugal - Liga Portugal,Gil Vicente,32,32,1.13,1.0
Portugal - Liga Portugal,Estrela Amadora,32,29,0.88,0.91
Portugal - Liga Portugal,Farense,32,24,1.0,0.75
Portugal - Liga Portugal,Boavista,32,24,1.13,0.75
Portugal - Liga Portugal,AVS,32,24,0.13,0.75
Portugal - Liga Portugal 2,Tondela,32,61,2.38,1.91
Portugal - Liga Portugal 2,Vizela,32,58,2.5,1.81
Portugal - Liga Portugal 2,Alverca,32,57,1.88,1.78
Portugal - Liga Portugal 2,Benfica B,32,51,1.5,1.59
Portugal - Liga Portugal 2,Torreense,32,51,1.88,1.59
Portugal - Liga Portugal 2,Chaves,32,50,1.5,1.56
Portugal - Liga Portugal 2,Uniao de Leiria,32,49,1.63,1.53
Portugal - Liga Portugal 2,Feirense,33,49,1.63,1.48
Portugal - Liga Portugal 2,Academico Viseu,32,44,1.38,1.38
Portugal - Liga Portugal 2,Penafiel,32,43,0.38,1.34
Portugal - Liga Portugal 2,Maritimo,32,42,1.75,1.31
Portugal - Liga Portugal 2,Felgueiras,32,40,1.38,1.25
Portugal - Liga Portugal 2,Leixoes,32,38,1.38,1.19
Portugal - Liga Portugal 2,Portimonense,32,34,0.63,1.06
Portugal - Liga Portugal 2,FC Porto B,32,32,1.38,1.0
Portugal - Liga Portugal 2,Pacos Ferreira,32,30,0.38,0.94
Portugal - Liga Portugal 2,Oliveirense,32,28,0.88,0.88
Portugal - Liga Portugal 2,Mafra,33,24,0.75,0.73
Scotland - Premiership,Celtic,35,85,2.0,2.43
Scotland - Premiership,Rangers,35,68,1.5,1.94
Scotland - Premiership,Hibernian,35,56,2.38,1.6
Scotland - Premiership,Aberdeen,35,53,1.5,1.51
Scotland - Premiership,Dundee Utd,35,50,1.25,1.43
Scotland - Premiership,St. Mirren,35,45,1.38,1.29
Scotland - Premiership,Motherwell,35,45,1.75,1.29
Scotland - Premiership,Hearts,35,43,1.25,1.23
Scotland - Premiership,Kilmarnock,35,41,1.25,1.17
Scotland - Premiership,Dundee FC,35,37,1.25,1.06
Scotland - Premiership,Ross County,35,35,0.38,1.0
Scotland - Premiership,St. Johnstone,35,29,1.0,0.83
Scotland - Championship,Falkirk,36,73,1.63,2.03
Scotland - Championship,Livingston,36,70,2.0,1.94
Scotland - Championship,Ayr Utd,36,63,1.13,1.75
