League_Name,Team_Overall,GP,Avg,0.5+,1.5+,2.5+,3.5+,4.5+,5.5+,BTS,CS,FTS,WTN,LTN
Argentina - Primera B,S. Italiano,15.0,1.4,67%,47%,20%,7%,0%,0%,33%,40%,60%,7%,27%
Argentina - Primera B,,,,,,,,,,,,,,
Argentina - Primera B,League average,,,84.4%,65.9%,32.9%,12.6%,4.8%,1.2%,43.7%,35.9%,35.9%,20.4%,20.4%
Armenia - Premier League,Noah,30.0,3.73,100%,90%,80%,47%,27%,20%,47%,50%,3%,50%,3%
Armenia - Premier League,Ararat-Armenia,30.0,3.43,97%,93%,80%,43%,20%,10%,47%,47%,10%,43%,7%
Armenia - Premier League,West Armenia,30.0,3.33,97%,87%,67%,30%,20%,17%,30%,20%,53%,17%,50%
Armenia - Premier League,BKMA,30.0,3.27,97%,83%,60%,37%,27%,17%,60%,13%,30%,10%,27%
Armenia - Premier League,Pyunik,30.0,3.2,97%,83%,63%,40%,23%,7%,53%,33%,17%,30%,13%
Armenia - Premier League,Ararat Yerevan,30.0,3.17,97%,87%,67%,33%,20%,10%,53%,17%,33%,13%,30%
Armenia - Premier League,Urartu,30.0,3.17,97%,83%,67%,33%,17%,13%,53%,40%,10%,37%,7%
Armenia - Premier League,Van,30.0,3.07,100%,87%,50%,40%,20%,7%,53%,37%,10%,37%,10%
Armenia - Premier League,Gandzasar,30.0,2.97,97%,77%,60%,30%,13%,10%,33%,10%,60%,7%,57%
Armenia - Premier League,Shirak,30.0,2.67,87%,73%,53%,30%,13%,7%,37%,30%,47%,17%,33%
Armenia - Premier League,Alashkert,30.0,2.53,97%,77%,40%,30%,7%,3%,33%,23%,47%,20%,43%
Armenia - Premier League,,,,,,,,,,,,,,
Armenia - Premier League,League average,,,96.4%,83.6%,62.4%,35.8%,18.8%,10.9%,45.5%,29.1%,29.1%,25.5%,25.5%
Australia - A-League,Adelaide Utd,26.0,4.15,96%,88%,77%,58%,46%,19%,81%,15%,8%,12%,4%
Australia - A-League,Sydney FC,26.0,3.81,92%,85%,73%,54%,46%,23%,69%,19%,19%,12%,12%
Australia - A-League,WS Wanderers,26.0,3.77,100%,88%,73%,62%,35%,15%,77%,19%,4%,19%,4%
Australia - A-League,Macarthur FC,26.0,3.65,96%,88%,77%,38%,23%,19%,77%,12%,15%,8%,12%
Australia - A-League,Western United,26.0,3.54,96%,85%,65%,54%,23%,15%,65%,19%,19%,15%,15%
Australia - A-League,Newcastle Jets,26.0,3.35,100%,81%,69%,46%,19%,12%,65%,19%,15%,19%,15%
Australia - A-League,Brisbane Roar,26.0,3.19,100%,77%,50%,42%,27%,12%,65%,4%,31%,4%,31%
Australia - A-League,Central Coast,26.0,3.08,88%,85%,69%,50%,12%,4%,65%,12%,35%,0%,23%
Australia - A-League,Melbourne V.,26.0,3.08,92%,85%,54%,35%,19%,12%,54%,31%,23%,23%,15%
Australia - A-League,Perth Glory,26.0,3.0,92%,77%,58%,46%,19%,4%,46%,19%,42%,12%,35%
