League_Name,Team_Overall,GP,Avg,0.5+,1.5+,2.5+,3.5+,4.5+,5.5+,BTS,CS,FTS,WTN,LTN
Canada - Premier League,Vancouver FC,7.0,2.57,100%,86%,29%,29%,14%,0%,57%,0%,43%,0%,43%
Canada - Premier League,HFX Wanderers,8.0,2.38,88%,75%,50%,25%,0%,0%,38%,50%,25%,38%,12%
Canada - Premier League,Forge,7.0,2.0,86%,57%,29%,29%,0%,0%,43%,57%,14%,43%,0%
Canada - Premier League,,,,,,,,,,,,,,
Canada - Premier League,League average,,,96.7%,83.3%,56.7%,40.0%,10.0%,3.3%,56.7%,23.3%,23.3%,20.0%,20.0%
China - Super League,Shandong T.,13.0,3.92,92%,85%,69%,54%,46%,31%,69%,15%,23%,8%,15%
China - Super League,Meizhou Hakka,13.0,3.69,100%,100%,85%,62%,8%,8%,77%,8%,15%,8%,15%
China - Super League,Zhejiang,13.0,3.54,100%,100%,69%,46%,23%,15%,69%,15%,15%,15%,15%
China - Super League,Qingdao West C.,12.0,3.5,92%,92%,67%,58%,25%,17%,67%,25%,17%,17%,8%
China - Super League,Shanghai Port,12.0,3.5,100%,100%,67%,50%,25%,8%,83%,17%,0%,17%,0%
China - Super League,Beijing Guoan,12.0,3.42,100%,92%,50%,42%,17%,17%,67%,33%,0%,33%,0%
China - Super League,Wuhan Three T.,12.0,3.25,100%,92%,58%,42%,8%,8%,58%,0%,42%,0%,42%
China - Super League,S. Shenhua,13.0,3.23,100%,85%,69%,54%,15%,0%,62%,31%,8%,31%,8%
China - Super League,Henan SL,12.0,3.08,92%,67%,67%,50%,17%,8%,67%,17%,25%,8%,17%
China - Super League,Sichuan Jiuniu,12.0,3.08,92%,75%,67%,50%,8%,8%,50%,25%,33%,17%,25%
China - Super League,Tianjin T.,13.0,3.08,100%,77%,62%,38%,15%,8%,69%,15%,15%,15%,15%
China - Super League,Yunnan Yukun,13.0,3.08,92%,77%,46%,46%,31%,8%,62%,31%,15%,23%,8%
China - Super League,Changchun Yatai,13.0,2.77,92%,85%,62%,23%,8%,8%,62%,8%,38%,0%,31%
China - Super League,Dalian Yingbo,13.0,2.62,100%,92%,31%,23%,15%,0%,54%,15%,31%,15%,31%
China - Super League,Qingdao Hainiu,13.0,2.46,100%,69%,38%,31%,8%,0%,62%,8%,31%,8%,31%
China - Super League,Chengdu,13.0,2.38,100%,77%,46%,15%,0%,0%,54%,46%,0%,46%,0%
China - Super League,,,,,,,,,,,,,,
China - Super League,League average,,,97.0%,85.1%,59.4%,42.6%,16.8%,8.9%,64.4%,19.3%,19.3%,16.3%,16.3%
China - League One,Shenzhen J.,10.0,3.8,100%,90%,80%,30%,30%,20%,60%,10%,30%,10%,30%
China - League One,Liaoning Tieren,10.0,3.7,100%,100%,80%,30%,20%,20%,80%,20%,0%,20%,0%
China - League One,Guangdong GZP,10.0,3.0,100%,100%,50%,30%,10%,10%,50%,40%,10%,40%,10%
China - League One,Shaanxi Union,10.0,2.9,90%,80%,60%,30%,20%,10%,70%,10%,30%,0%,20%
China - League One,Chongqing T.,10.0,2.8,90%,70%,60%,20%,20%,20%,60%,40%,10%,30%,0%
China - League One,Heilongjiang IC,10.0,2.8,90%,70%,60%,40%,10%,10%,60%,20%,30%,10%,20%
China - League One,Nantong Zhiyun,10.0,2.6,90%,70%,30%,30%,30%,10%,30%,50%,30%,40%,20%
China - League One,Nanjing City,10.0,2.5,90%,70%,40%,20%,10%,10%,60%,20%,30%,10%,20%
China - League One,S. Gongfu,10.0,2.5,100%,90%,30%,20%,10%,0%,40%,50%,10%,50%,10%
China - League One,Guangxi Baoyun,10.0,2.3,80%,60%,50%,30%,10%,0%,40%,20%,60%,0%,40%
China - League One,Yanbian Longdin,10.0,2.3,90%,70%,40%,20%,10%,0%,30%,40%,40%,30%,30%
China - League One,Dalian Kuncheng,10.0,2.2,80%,70%,50%,10%,10%,0%,60%,30%,30%,10%,10%
China - League One,Shanghai Jiadin,10.0,2.1,90%,70%,20%,10%,10%,10%,30%,30%,50%,20%,40%
China - League One,Foshan Nanshi,10.0,2.0,90%,70%,30%,10%,0%,0%,40%,20%,50%,10%,40%
China - League One,Qingdao RL,10.0,1.7,90%,60%,10%,10%,0%,0%,40%,20%,50%,10%,40%
China - League One,Suzhou Dongwu,10.0,1.4,70%,60%,10%,0%,0%,0%,30%,70%,30%,40%,0%
China - League One,,,,,,,,,,,,,,
China - League One,League average,,,90.0%,75.0%,43.8%,21.3%,12.5%,7.5%,48.8%,30.6%,30.6%,20.6%,20.6%
Colombia - Primera A - Apertura,A. Nacional,20.0,2.9,90%,70%,55%,35%,25%,10%,50%,40%,20%,30%,10%
Colombia - Primera A - Apertura,Santa Fe,20.0,2.55,85%,70%,40%,20%,15%,10%,50%,40%,25%,25%,10%
Colombia - Primera A - Apertura,Deportes Tolima,20.0,2.45,80%,70%,45%,30%,10%,5%,55%,40%,25%,20%,5%
Colombia - Primera A - Apertura,La Equidad,20.0,2.4,90%,70%,50%,20%,10%,0%,45%,15%,50%,5%,40%
Colombia - Primera A - Apertura,Llaneros,20.0,2.4,100%,55%,50%,20%,5%,5%,45%,10%,45%,10%,45%
Colombia - Primera A - Apertura,Once Caldas,20.0,2.4,95%,75%,55%,15%,0%,0%,40%,35%,30%,30%,25%
Colombia - Primera A - Apertura,Millonarios,20.0,2.35,85%,65%,40%,30%,10%,5%,40%,55%,20%,40%,5%
Colombia - Primera A - Apertura,Boyaca Chico,20.0,2.25,80%,65%,40%,20%,15%,5%,40%,35%,45%,15%,25%
Colombia - Primera A - Apertura,Envigado,20.0,2.25,90%,55%,40%,15%,10%,5%,45%,10%,55%,0%,45%
Colombia - Primera A - Apertura,A. Bucaramanga,20.0,2.2,90%,70%,40%,15%,5%,0%,45%,35%,30%,25%,20%
Colombia - Primera A - Apertura,A. Petrolera,20.0,2.2,80%,65%,40%,15%,10%,5%,40%,45%,35%,25%,15%
Colombia - Primera A - Apertura,Union Magdalena,20.0,2.2,90%,70%,40%,20%,0%,0%,55%,15%,40%,5%,30%
Colombia - Primera A - Apertura,D. Pereira,20.0,2.15,85%,70%,35%,15%,5%,5%,35%,50%,30%,35%,15%
Colombia - Primera A - Apertura,Junior,20.0,2.1,80%,60%,40%,15%,10%,5%,45%,50%,25%,30%,5%
Colombia - Primera A - Apertura,America de Cali,20.0,2.05,85%,70%,25%,10%,5%,5%,20%,65%,30%,50%,15%
Colombia - Primera A - Apertura,Deportivo Pasto,20.0,2.0,95%,55%,35%,5%,5%,5%,40%,30%,35%,25%,30%
Colombia - Primera A - Apertura,Fortaleza CEIF,20.0,2.0,85%,60%,30%,15%,5%,5%,30%,35%,50%,20%,35%
Colombia - Primera A - Apertura,R. Aguilas,20.0,1.8,80%,50%,30%,10%,5%,5%,45%,30%,45%,10%,25%
Colombia - Primera A - Apertura,Deportivo Cali,20.0,1.55,75%,50%,15%,15%,0%,0%,30%,40%,55%,15%,30%
Colombia - Primera A - Apertura,I. Medelin,20.0,1.5,80%,55%,15%,0%,0%,0%,25%,55%,40%,35%,20%
Colombia - Primera A - Apertura,,,,,,,,,,,,,,
Colombia - Primera A - Apertura,League average,,,86.0%,63.5%,38.0%,17.0%,7.5%,4.0%,41.0%,36.5%,36.5%,22.5%,22.5%
Colombia - Primera B - Apertura,Real Cartagena,16.0,3.19,94%,94%,69%,38%,25%,0%,62%,25%,19%,19%,12%
Colombia - Primera B - Apertura,Bogota,16.0,3.06,100%,94%,69%,31%,12%,0%,62%,6%,31%,6%,31%
Colombia - Primera B - Apertura,Leones,16.0,2.88,94%,81%,56%,38%,19%,0%,62%,12%,31%,6%,25%
Colombia - Primera B - Apertura,Atletico Cali,16.0,2.63,88%,62%,56%,25%,12%,12%,50%,25%,38%,12%,25%
Colombia - Primera B - Apertura,Cucuta,16.0,2.63,100%,88%,38%,19%,12%,6%,56%,38%,6%,38%,6%
Colombia - Primera B - Apertura,R. Cundinamarca,16.0,2.56,88%,62%,38%,25%,19%,12%,50%,50%,12%,38%,0%
Colombia - Primera B - Apertura,Jaguares de C.,16.0,2.5,100%,69%,44%,31%,6%,0%,50%,44%,6%,44%,6%
Colombia - Primera B - Apertura,Barranquilla,16.0,2.44,88%,75%,50%,19%,12%,0%,44%,19%,50%,6%,38%
Colombia - Primera B - Apertura,D. Quindio,16.0,2.44,88%,62%,38%,31%,19%,6%,44%,25%,44%,12%,31%
Colombia - Primera B - Apertura,Inter Palmira,16.0,2.44,100%,81%,50%,6%,6%,0%,44%,38%,19%,38%,19%
Colombia - Primera B - Apertura,Real Santander,16.0,2.38,88%,62%,44%,12%,12%,12%,44%,31%,38%,19%,25%
Colombia - Primera B - Apertura,Boca Juniors,16.0,1.94,94%,50%,31%,12%,6%,0%,31%,12%,62%,6%,56%
Colombia - Primera B - Apertura,Orsomarso,16.0,1.94,75%,62%,31%,19%,6%,0%,50%,38%,38%,12%,12%
Colombia - Primera B - Apertura,Tigres,16.0,1.88,94%,75%,19%,0%,0%,0%,50%,25%,31%,19%,25%
Colombia - Primera B - Apertura,Atletico Huila,16.0,1.81,88%,62%,19%,6%,6%,0%,31%,50%,31%,38%,19%
Colombia - Primera B - Apertura,Patriotas,16.0,1.81,88%,56%,25%,12%,0%,0%,31%,50%,31%,38%,19%
Colombia - Primera B - Apertura,,,,,,,,,,,,,,
Colombia - Primera B - Apertura,League average,,,91.4%,71.1%,42.2%,20.3%,10.9%,3.1%,47.7%,30.5%,30.5%,21.9%,21.9%
Costa Rica - Primera Div. - Apertura,Santos Guapiles,22.0,3.09,95%,77%,64%,41%,14%,14%,59%,23%,23%,18%,18%
Costa Rica - Primera Div. - Apertura,San Carlos,21.0,3.05,76%,71%,62%,43%,24%,14%,62%,38%,24%,14%,0%
Costa Rica - Primera Div. - Apertura,Saprissa,22.0,2.95,95%,77%,64%,36%,18%,5%,59%,32%,14%,27%,9%
Costa Rica - Primera Div. - Apertura,Cartagines,22.0,2.82,91%,68%,55%,27%,14%,9%,50%,32%,27%,23%,18%
Costa Rica - Primera Div. - Apertura,Herediano,22.0,2.82,91%,86%,41%,23%,14%,9%,55%,27%,27%,18%,18%
Costa Rica - Primera Div. - Apertura,M. Liberia,22.0,2.82,95%,68%,55%,27%,14%,9%,55%,27%,23%,23%,18%
Costa Rica - Primera Div. - Apertura,Santa Ana,22.0,2.77,95%,82%,55%,18%,14%,9%,64%,5%,36%,0%,32%
Costa Rica - Primera Div. - Apertura,Guanacasteca,21.0,2.57,95%,76%,57%,29%,0%,0%,57%,33%,14%,29%,10%
Costa Rica - Primera Div. - Apertura,Alajuelense,22.0,2.5,95%,77%,50%,27%,0%,0%,55%,36%,14%,32%,9%
Costa Rica - Primera Div. - Apertura,Sporting SJ,22.0,2.45,100%,64%,36%,23%,9%,5%,45%,23%,32%,23%,32%
Costa Rica - Primera Div. - Apertura,Puntarenas,22.0,2.36,86%,64%,41%,23%,18%,5%,50%,18%,45%,5%,32%
Costa Rica - Primera Div. - Apertura,Zeledon,22.0,2.14,82%,59%,36%,23%,9%,5%,50%,27%,41%,9%,23%
Costa Rica - Primera Div. - Apertura,,,,,,,,,,,,,,
Costa Rica - Primera Div. - Apertura,League average,,,91.6%,72.5%,51.1%,28.2%,12.2%,6.9%,55.0%,26.7%,26.7%,18.3%,18.3%
Costa Rica - Primera Div. - Clausura,Santa Ana,22.0,3.0,86%,77%,64%,32%,18%,9%,64%,14%,36%,0%,23%
Costa Rica - Primera Div. - Clausura,Santos Guapiles,22.0,2.68,95%,73%,50%,27%,18%,5%,50%,27%,27%,23%,23%
Costa Rica - Primera Div. - Clausura,Herediano,22.0,2.55,100%,82%,50%,18%,5%,0%,68%,27%,5%,27%,5%
Costa Rica - Primera Div. - Clausura,Sporting SJ,22.0,2.41,91%,68%,50%,18%,9%,5%,50%,23%,36%,14%,27%
Costa Rica - Primera Div. - Clausura,M. Liberia,22.0,2.36,100%,59%,36%,23%,14%,5%,45%,18%,36%,18%,36%
Costa Rica - Primera Div. - Clausura,Saprissa,22.0,2.18,91%,73%,41%,9%,5%,0%,41%,50%,18%,41%,9%
Costa Rica - Primera Div. - Clausura,Puntarenas,22.0,2.14,91%,68%,36%,9%,5%,5%,55%,36%,18%,27%,9%
Costa Rica - Primera Div. - Clausura,Cartagines,22.0,2.05,100%,59%,36%,5%,5%,0%,45%,32%,23%,32%,23%
Costa Rica - Primera Div. - Clausura,Guanacasteca,22.0,2.05,91%,64%,36%,9%,5%,0%,32%,23%,55%,14%,45%
Costa Rica - Primera Div. - Clausura,Zeledon,22.0,2.0,82%,55%,45%,9%,5%,5%,32%,41%,45%,23%,27%
Costa Rica - Primera Div. - Clausura,Alajuelense,22.0,1.82,73%,59%,18%,9%,5%,5%,45%,55%,27%,27%,0%
Costa Rica - Primera Div. - Clausura,San Carlos,22.0,1.77,91%,55%,27%,5%,0%,0%,36%,27%,45%,18%,36%
Costa Rica - Primera Div. - Clausura,,,,,,,,,,,,,,
Costa Rica - Primera Div. - Clausura,League average,,,90.9%,65.9%,40.9%,14.4%,7.6%,3.0%,47.0%,31.1%,31.1%,22.0%,22.0%
Croatia - 1. NL,Cibalia,32.0,2.63,94%,75%,50%,25%,12%,6%,59%,25%,22%,19%,16%
Croatia - 1. NL,Dugopolje,32.0,2.59,88%,78%,47%,28%,16%,3%,53%,22%,38%,9%,25%
Croatia - 1. NL,Zrinski,32.0,2.59,94%,66%,53%,28%,12%,6%,28%,9%,69%,3%,62%
Croatia - 1. NL,Bijelo Brdo,32.0,2.47,97%,69%,41%,28%,12%,0%,41%,31%,31%,28%,28%
Croatia - 1. NL,C. Zmijavci,32.0,2.28,84%,56%,44%,31%,9%,3%,41%,34%,41%,19%,25%
Croatia - 1. NL,Orijent,32.0,2.25,88%,75%,31%,19%,9%,3%,50%,34%,28%,22%,16%
Croatia - 1. NL,Dubrava Zagreb,32.0,2.13,91%,59%,47%,12%,3%,0%,38%,38%,34%,28%,25%
Croatia - 1. NL,Vukovar,32.0,2.13,91%,59%,31%,16%,9%,6%,31%,59%,19%,50%,9%
Croatia - 1. NL,Jarun,32.0,2.09,91%,69%,38%,9%,3%,0%,50%,31%,28%,22%,19%
Croatia - 1. NL,Opatija,32.0,2.09,81%,66%,41%,12%,9%,0%,47%,53%,19%,34%,0%
Croatia - 1. NL,Sesvete,32.0,2.0,84%,50%,38%,19%,6%,3%,31%,41%,44%,25%,28%
Croatia - 1. NL,Rudes,32.0,1.88,88%,59%,28%,9%,3%,0%,38%,34%,41%,22%,28%
Croatia - 1. NL,,,,,,,,,,,,,,
Croatia - 1. NL,League average,,,89.1%,65.1%,40.6%,19.8%,8.9%,2.6%,42.2%,34.4%,34.4%,23.4%,23.4%
CzechRepublic - 1. Liga,Viktoria Plzen,35.0,3.06,94%,80%,54%,31%,23%,11%,54%,37%,14%,31%,9%
CzechRepublic - 1. Liga,Karvina,32.0,3.03,88%,75%,62%,44%,28%,6%,59%,25%,28%,12%,16%
CzechRepublic - 1. Liga,Sparta Prague,35.0,3.0,100%,91%,60%,29%,17%,3%,69%,23%,9%,23%,9%
CzechRepublic - 1. Liga,C. Budejovice,35.0,2.91,86%,77%,60%,34%,17%,6%,34%,14%,66%,0%,51%
CzechRepublic - 1. Liga,Sigma Olomouc,35.0,2.89,91%,83%,69%,34%,11%,0%,66%,20%,23%,11%,14%
CzechRepublic - 1. Liga,Mlada Boleslav,35.0,2.74,97%,80%,60%,31%,6%,0%,54%,26%,23%,23%,20%
CzechRepublic - 1. Liga,Slavia Prague,35.0,2.71,94%,77%,54%,26%,11%,6%,31%,63%,11%,57%,6%
CzechRepublic - 1. Liga,Jablonec,35.0,2.66,86%,69%,54%,31%,23%,3%,40%,46%,29%,31%,14%
CzechRepublic - 1. Liga,Banik Ostrava,35.0,2.63,91%,63%,54%,31%,14%,6%,49%,40%,20%,31%,11%
CzechRepublic - 1. Liga,Slovan Liberec,32.0,2.56,88%,69%,47%,34%,19%,0%,44%,38%,31%,25%,19%
CzechRepublic - 1. Liga,Dukla Praha,35.0,2.54,86%,71%,51%,26%,14%,6%,54%,29%,31%,14%,17%
CzechRepublic - 1. Liga,Slovacko,35.0,2.49,86%,69%,46%,29%,11%,9%,40%,29%,46%,14%,31%
CzechRepublic - 1. Liga,Teplice,35.0,2.46,100%,74%,43%,14%,9%,3%,51%,29%,20%,29%,20%
CzechRepublic - 1. Liga,Bohemians,34.0,2.44,88%,65%,50%,26%,9%,6%,47%,21%,44%,9%,32%
CzechRepublic - 1. Liga,Pardubice,35.0,2.31,91%,69%,43%,17%,6%,3%,34%,17%,57%,9%,49%
CzechRepublic - 1. Liga,Hradec Kralove,34.0,2.12,94%,65%,38%,9%,3%,3%,32%,35%,38%,29%,32%
CzechRepublic - 1. Liga,,,,,,,,,,,,,,
CzechRepublic - 1. Liga,League average,,,91.3%,73.6%,52.9%,27.9%,13.8%,4.3%,47.5%,30.6%,30.6%,21.9%,21.9%
CzechRepublic - FNL,Vikto Zizkov,30.0,3.33,97%,80%,63%,40%,27%,17%,70%,10%,23%,7%,20%
CzechRepublic - FNL,Varnsdorf,30.0,2.87,97%,87%,57%,20%,10%,7%,60%,17%,27%,13%,23%
CzechRepublic - FNL,Sigma Olomouc B,30.0,2.83,90%,77%,67%,37%,13%,0%,43%,13%,53%,3%,43%
CzechRepublic - FNL,Vlasim,30.0,2.73,93%,80%,50%,33%,10%,7%,70%,23%,13%,17%,7%
CzechRepublic - FNL,Banik Ostrava B,30.0,2.7,87%,67%,57%,33%,13%,7%,50%,30%,33%,17%,20%
CzechRepublic - FNL,Sparta Prague B,30.0,2.67,90%,70%,50%,30%,13%,10%,57%,33%,20%,23%,10%
CzechRepublic - FNL,Zbrojovka Brno,30.0,2.67,93%,77%,43%,27%,17%,7%,67%,23%,17%,17%,10%
CzechRepublic - FNL,Slavia Prague B,30.0,2.6,93%,73%,57%,30%,3%,3%,53%,30%,23%,23%,17%
CzechRepublic - FNL,Chrudim,30.0,2.57,90%,77%,50%,20%,10%,7%,50%,37%,23%,27%,13%
CzechRepublic - FNL,Jihlava,30.0,2.47,97%,87%,43%,20%,0%,0%,67%,13%,23%,10%,20%
CzechRepublic - FNL,Prostejov,30.0,2.43,87%,73%,47%,20%,7%,7%,50%,23%,40%,10%,27%
CzechRepublic - FNL,Opava,30.0,2.27,83%,63%,43%,20%,10%,7%,47%,30%,40%,13%,23%
CzechRepublic - FNL,Lisen,30.0,2.2,87%,70%,33%,20%,10%,0%,47%,33%,33%,20%,20%
CzechRepublic - FNL,Taborsko,30.0,2.13,90%,60%,40%,17%,3%,3%,47%,33%,30%,23%,20%
CzechRepublic - FNL,Zlin,30.0,1.97,90%,67%,33%,7%,0%,0%,43%,53%,13%,43%,3%
CzechRepublic - FNL,Vyskov,30.0,1.9,83%,60%,33%,13%,0%,0%,33%,47%,37%,30%,20%
CzechRepublic - FNL,,,,,,,,,,,,,,
CzechRepublic - FNL,League average,,,90.4%,72.9%,47.9%,24.2%,9.2%,5.0%,53.3%,28.1%,28.1%,18.5%,18.5%
Denmark - Superligaen,SonderjyskE,32.0,3.47,100%,91%,69%,50%,31%,6%,69%,9%,22%,9%,22%
Denmark - Superligaen,Nordsjaelland,32.0,3.41,97%,84%,66%,50%,34%,6%,66%,16%,22%,12%,19%
Denmark - Superligaen,Randers FC,32.0,3.34,94%,84%,62%,50%,25%,12%,69%,19%,19%,12%,12%
Denmark - Superligaen,Viborg,32.0,3.34,91%,81%,69%,53%,31%,9%,75%,22%,12%,12%,3%
Denmark - Superligaen,FC Midtjylland,32.0,3.31,100%,88%,62%,44%,28%,9%,66%,22%,12%,22%,12%
Denmark - Superligaen,Brondby IF,32.0,3.25,91%,81%,62%,47%,25%,16%,62%,28%,19%,19%,9%
Denmark - Superligaen,Aalborg BK,32.0,3.16,94%,84%,69%,50%,16%,3%,50%,12%,44%,6%,38%
Denmark - Superligaen,Vejle BK,32.0,3.16,100%,81%,59%,44%,22%,9%,59%,16%,25%,16%,25%
Denmark - Superligaen,AGF Aarhus,32.0,3.09,97%,88%,53%,47%,19%,6%,69%,22%,12%,19%,9%
Denmark - Superligaen,Silkeborg,32.0,3.03,100%,81%,59%,44%,16%,3%,69%,19%,12%,19%,12%
Denmark - Superligaen,FC Kobenhavn,32.0,2.91,94%,84%,59%,38%,12%,3%,66%,34%,6%,28%,0%
Denmark - Superligaen,Lyngby,32.0,2.16,88%,72%,34%,16%,3%,3%,50%,25%,38%,12%,25%
Denmark - Superligaen,,,,,,,,,,,,,,
Denmark - Superligaen,League average,,,95.3%,83.3%,60.4%,44.3%,21.9%,7.3%,64.1%,20.3%,20.3%,15.6%,15.6%
Denmark - 1st Division,Esbjerg,32.0,3.38,100%,88%,66%,34%,25%,12%,56%,16%,28%,16%,28%
Denmark - 1st Division,Odense BK,32.0,3.25,97%,88%,59%,38%,25%,16%,66%,28%,9%,25%,6%
Denmark - 1st Division,B 93,32.0,3.22,91%,78%,69%,44%,22%,12%,50%,25%,34%,16%,25%
Denmark - 1st Division,Roskilde,32.0,3.06,94%,88%,53%,28%,25%,12%,59%,16%,31%,9%,25%
Denmark - 1st Division,AC Horsens,32.0,3.03,97%,78%,59%,34%,22%,9%,59%,22%,22%,19%,19%
Denmark - 1st Division,Fredericia,32.0,2.97,97%,75%,53%,31%,25%,12%,41%,44%,19%,41%,16%
Denmark - 1st Division,Hillerod,32.0,2.94,88%,78%,53%,34%,19%,16%,50%,38%,25%,25%,12%
Denmark - 1st Division,HB Koge,32.0,2.91,94%,81%,50%,28%,19%,12%,50%,19%,38%,12%,31%
Denmark - 1st Division,Hobro,32.0,2.81,94%,78%,47%,31%,19%,3%,53%,22%,31%,16%,25%
Denmark - 1st Division,Vendsyssel,32.0,2.63,88%,75%,53%,31%,6%,6%,53%,25%,34%,12%,22%
Denmark - 1st Division,Hvidovre,32.0,2.13,84%,53%,31%,22%,12%,9%,34%,41%,41%,25%,25%
Denmark - 1st Division,Kolding IF,32.0,2.0,84%,53%,38%,12%,6%,3%,41%,47%,28%,31%,12%
Denmark - 1st Division,,,,,,,,,,,,,,
Denmark - 1st Division,League average,,,92.2%,76.0%,52.6%,30.7%,18.8%,10.4%,51.0%,28.4%,28.4%,20.6%,20.6%
Denmark - 2nd Division,AB Copenhagen,22.0,2.77,91%,77%,55%,32%,14%,9%,55%,32%,23%,23%,14%
Denmark - 2nd Division,Middelfart,22.0,2.64,100%,77%,55%,27%,5%,0%,68%,23%,9%,23%,9%
Denmark - 2nd Division,Fremad Amager,22.0,2.55,100%,82%,45%,18%,9%,0%,41%,36%,23%,36%,23%
Denmark - 2nd Division,Helsingor,22.0,2.55,95%,86%,41%,18%,9%,5%,59%,14%,32%,9%,27%
Denmark - 2nd Division,Nykobing,22.0,2.55,95%,73%,55%,27%,5%,0%,36%,14%,55%,9%,50%
Denmark - 2nd Division,Aarhus Fremad,22.0,2.5,95%,73%,45%,32%,5%,0%,41%,45%,18%,41%,14%
Denmark - 2nd Division,Ishoj,22.0,2.41,91%,77%,50%,18%,5%,0%,59%,18%,32%,9%,23%
Denmark - 2nd Division,Skive,22.0,2.32,95%,64%,41%,18%,9%,5%,36%,36%,32%,32%,27%
Denmark - 2nd Division,Hellerup IK,22.0,2.23,95%,64%,41%,18%,5%,0%,27%,36%,41%,32%,36%
Denmark - 2nd Division,Naestved,22.0,2.23,100%,64%,36%,14%,5%,5%,45%,32%,23%,32%,23%
Denmark - 2nd Division,BK Frem,22.0,2.18,91%,68%,45%,9%,5%,0%,59%,27%,23%,18%,14%
Denmark - 2nd Division,Thisted,22.0,2.18,86%,59%,36%,23%,9%,5%,36%,36%,41%,23%,27%
Denmark - 2nd Division,,,,,,,,,,,,,,
Denmark - 2nd Division,League average,,,94.7%,72.0%,45.5%,21.2%,6.8%,2.3%,47.0%,29.2%,29.2%,23.9%,23.9%
Egypt - Premier League,Ceramica C.,25.0,2.84,96%,76%,44%,32%,20%,12%,56%,32%,16%,28%,12%
Egypt - Premier League,Al Ahly,25.0,2.8,92%,76%,44%,32%,20%,12%,44%,52%,12%,44%,4%
Egypt - Premier League,Pyramids FC,25.0,2.68,96%,72%,56%,24%,12%,8%,52%,44%,8%,40%,4%
Egypt - Premier League,Zamalek,24.0,2.67,96%,79%,46%,33%,12%,0%,46%,38%,21%,33%,17%
Egypt - Premier League,National Bank,25.0,2.6,84%,64%,52%,32%,20%,8%,60%,32%,24%,16%,8%
Egypt - Premier League,Pharco,24.0,2.42,79%,67%,46%,21%,17%,8%,46%,25%,50%,4%,29%
Egypt - Premier League,Petrojet,25.0,2.36,88%,72%,44%,24%,8%,0%,56%,24%,32%,12%,20%
Egypt - Premier League,Ghazl El M.,25.0,2.24,88%,56%,44%,20%,12%,4%,32%,28%,52%,16%,40%
Egypt - Premier League,Haras El Hodood,25.0,2.2,88%,64%,40%,20%,8%,0%,32%,36%,44%,24%,32%
Egypt - Premier League,Modern Sport,25.0,2.08,80%,52%,40%,20%,12%,4%,44%,36%,40%,16%,20%
Egypt - Premier League,Al Masry,25.0,1.96,76%,56%,32%,16%,8%,8%,32%,56%,36%,32%,12%
Egypt - Premier League,Ismaily,25.0,1.84,88%,56%,28%,12%,0%,0%,28%,32%,52%,20%,40%
Egypt - Premier League,ENPPI,25.0,1.76,84%,44%,28%,8%,4%,4%,36%,36%,44%,20%,28%
Egypt - Premier League,Smouha,25.0,1.72,80%,44%,24%,12%,8%,4%,28%,36%,56%,16%,36%
Egypt - Premier League,El Geish,25.0,1.68,76%,48%,28%,12%,4%,0%,36%,40%,48%,16%,24%
Egypt - Premier League,El Gouna,25.0,1.68,80%,44%,24%,12%,8%,0%,20%,44%,56%,24%,36%
Egypt - Premier League,ZED FC,25.0,1.68,76%,60%,24%,8%,0%,0%,44%,44%,36%,20%,12%
Egypt - Premier League,Al Ittihad,25.0,1.4,72%,40%,16%,8%,4%,0%,32%,44%,52%,16%,24%
Egypt - Premier League,,,,,,,,,,,,,,
Egypt - Premier League,League average,,,84.4%,59.4%,36.6%,19.2%,9.8%,4.0%,40.2%,37.7%,37.7%,22.1%,22.1%
Ecuador - Liga Pro,Manta,14.0,3.14,100%,100%,57%,29%,14%,7%,79%,0%,21%,0%,21%
Ecuador - Liga Pro,Cuniburo,14.0,3.0,86%,79%,79%,43%,14%,0%,71%,21%,21%,7%,7%
Ecuador - Liga Pro,Mushuc Runa,14.0,3.0,100%,86%,50%,21%,14%,14%,71%,14%,14%,14%,14%
Ecuador - Liga Pro,I. del Valle,14.0,2.93,100%,100%,64%,29%,0%,0%,71%,21%,7%,21%,7%
Ecuador - Liga Pro,U. Catolica,14.0,2.79,100%,86%,50%,36%,7%,0%,64%,29%,7%,29%,7%
Ecuador - Liga Pro,Libertad,14.0,2.71,100%,79%,43%,36%,14%,0%,64%,14%,21%,14%,21%
Ecuador - Liga Pro,El Nacional,14.0,2.64,93%,64%,43%,36%,14%,7%,57%,14%,36%,7%,29%
Ecuador - Liga Pro,Orense,14.0,2.64,86%,64%,57%,29%,14%,7%,50%,29%,36%,14%,21%
Ecuador - Liga Pro,Aucas,14.0,2.57,100%,86%,43%,21%,7%,0%,64%,29%,7%,29%,7%
Ecuador - Liga Pro,Barcelona SC,13.0,2.54,92%,62%,46%,38%,15%,0%,38%,54%,15%,46%,8%
Ecuador - Liga Pro,Tecnico U.,14.0,2.43,93%,71%,50%,21%,7%,0%,64%,21%,21%,14%,14%
Ecuador - Liga Pro,LDU Quito,13.0,2.38,92%,69%,46%,31%,0%,0%,54%,31%,23%,23%,15%
Ecuador - Liga Pro,Delfin,14.0,2.14,79%,64%,36%,21%,14%,0%,29%,43%,50%,21%,29%
Ecuador - Liga Pro,Emelec,14.0,1.86,93%,64%,21%,7%,0%,0%,36%,21%,50%,14%,43%
