league,Away,AVG_min_scored,AVG_min_conceded
Portugal - Liga Portugal 2,Pacos Ferreira,25.0,40.0
Portugal - Liga Portugal 2,Penafiel,48.0,50.0
Portugal - Liga Portugal 2,Portimonense,52.0,46.0
Portugal - Liga Portugal 2,Tondela,48.0,47.0
Portugal - Liga Portugal 2,Torreense,55.0,50.0
Portugal - Liga Portugal 2,Uniao de Leiria,52.0,61.0
Portugal - Liga Portugal 2,Vizela,48.0,47.0
Scotland - Premiership,Aberdeen,53.0,56.0
Scotland - Premiership,Celtic,57.0,44.0
Scotland - Premiership,Dundee FC,42.0,50.0
Scotland - Premiership,Dundee Utd,61.0,56.0
Scotland - Premiership,Hearts,49.0,47.0
Scotland - Premiership,Hibernian,46.0,55.0
Scotland - Premiership,Kilmarnock,60.0,48.0
Scotland - Premiership,Motherwell,47.0,50.0
Scotland - Premiership,Rangers,53.0,42.0
Scotland - Premiership,Ross County,50.0,54.0
Scotland - Premiership,St. Johnstone,54.0,47.0
Scotland - Premiership,St. Mirren,41.0,54.0
Scotland - Championship,Airdrieonians,43.0,45.0
Scotland - Championship,Ayr Utd,53.0,45.0
Scotland - Championship,Dunfermline,50.0,48.0
Scotland - Championship,Falkirk,44.0,49.0
Scotland - Championship,Greenock Morton,57.0,54.0
Scotland - Championship,Hamilton,44.0,56.0
Scotland - Championship,Livingston,51.0,42.0
Scotland - Championship,Partick Thistle,56.0,47.0
Scotland - Championship,Queens Park,46.0,42.0
Scotland - Championship,Raith Rovers,42.0,54.0
Serbia - Super Liga,Backa Topola,43.0,54.0
Serbia - Super Liga,Cukaricki,47.0,51.0
Serbia - Super Liga,IMT N. Beograd,51.0,50.0
Serbia - Super Liga,Jedinstvo U.,41.0,52.0
Serbia - Super Liga,Mladost Lucani,34.0,47.0
Serbia - Super Liga,Napredak,53.0,51.0
Serbia - Super Liga,Novi Pazar,48.0,59.0
Serbia - Super Liga,OFK Beograd,62.0,40.0
Serbia - Super Liga,Partizan,45.0,52.0
Serbia - Super Liga,Radnicki 1923,48.0,47.0
Serbia - Super Liga,Radnicki Nis,57.0,52.0
Serbia - Super Liga,Red Star,51.0,48.0
Serbia - Super Liga,S. Subotica,61.0,53.0
Serbia - Super Liga,Tekstilac Odzac,37.0,50.0
Serbia - Super Liga,Vojvodina,52.0,45.0
Serbia - Super Liga,Z. Pancevo,38.0,40.0
Slovakia - Fortuna Liga,Banska Bystrica,46.0,60.0
Slovakia - Fortuna Liga,DAC Streda,52.0,58.0
Slovakia - Fortuna Liga,FC Kosice,49.0,52.0
Slovakia - Fortuna Liga,Komarno,57.0,47.0
Slovakia - Fortuna Liga,Podbrezova,61.0,55.0
Slovakia - Fortuna Liga,Ruzomberok,52.0,39.0
Slovakia - Fortuna Liga,S. Bratislava,58.0,54.0
Slovakia - Fortuna Liga,Skalica,62.0,45.0
Slovakia - Fortuna Liga,Spartak Trnava,52.0,44.0
Slovakia - Fortuna Liga,Trencin,48.0,50.0
Slovakia - Fortuna Liga,Z. Michalovce,48.0,60.0
Slovakia - Fortuna Liga,Zilina,50.0,44.0
South Africa - Premier Division ,AmaZulu,48.0,51.0
South Africa - Premier Division ,Cape Town City,46.0,49.0
South Africa - Premier Division ,Chippa Utd,36.0,46.0
South Africa - Premier Division ,Golden Arrows,64.0,49.0
South Africa - Premier Division ,Kaizer Chiefs,42.0,48.0
South Africa - Premier Division ,Magesi,41.0,51.0
South Africa - Premier Division ,Mamelodi S.,51.0,33.0
South Africa - Premier Division ,Marumo G.,34.0,54.0
South Africa - Premier Division ,Orlando Pirates,49.0,52.0
South Africa - Premier Division ,Polokwane,54.0,66.0
South Africa - Premier Division ,Richards Bay,45.0,52.0
South Africa - Premier Division ,Royal AM,77.0,32.0
South Africa - Premier Division ,Sekhukhune,49.0,55.0
South Africa - Premier Division ,Stellenbosch,46.0,42.0
South Africa - Premier Division ,SuperSport Utd,59.0,49.0
South Africa - Premier Division ,TS Galaxy,42.0,41.0
South Korea - K League 1,Anyang,47.0,68.0
South Korea - K League 1,Daegu,75.0,51.0
South Korea - K League 1,Daejeon Citizen,47.0,56.0
South Korea - K League 1,Gangwon,50.0,74.0
South Korea - K League 1,Gimcheon Sangmu,47.0,54.0
South Korea - K League 1,Gwangju,37.0,42.0
South Korea - K League 1,Jeju Utd,42.0,70.0
South Korea - K League 1,Jeonbuk Motors,63.0,66.0
South Korea - K League 1,Pohang Steelers,58.0,48.0
South Korea - K League 1,Seoul,19.0,36.0
South Korea - K League 1,Suwon City,64.0,51.0
South Korea - K League 1,Ulsan,52.0,46.0
South Korea - K League 2,Ansan Greeners,37.0,45.0
South Korea - K League 2,Asan,61.0,65.0
South Korea - K League 2,Bucheon FC,70.0,46.0
South Korea - K League 2,Busan IPark,19.0,86.0
South Korea - K League 2,Cheonan City,44.0,52.0
South Korea - K League 2,Cheongju,47.0,56.0
South Korea - K League 2,Gyeongnam,66.0,52.0
South Korea - K League 2,Hwaseong,37.0,59.0
South Korea - K League 2,Incheon Utd,56.0,85.0
South Korea - K League 2,Jeonnam,38.0,73.0
South Korea - K League 2,Seongnam,45.0,89.0
South Korea - K League 2,Seoul E-Land,24.0,85.0
South Korea - K League 2,Suwon Bluewings,56.0,51.0
Spain - La Liga,Alaves,50.0,57.0
Spain - La Liga,Athletic Bilbao,57.0,54.0
Spain - La Liga,Atletico Madrid,52.0,47.0
Spain - La Liga,Celta Vigo,52.0,52.0
Spain - La Liga,Espanyol,54.0,43.0
Spain - La Liga,FC Barcelona,56.0,52.0
Spain - La Liga,Getafe,59.0,47.0
Spain - La Liga,Girona,62.0,56.0
Spain - La Liga,Las Palmas,53.0,51.0
Spain - La Liga,Leganes,39.0,53.0
Spain - La Liga,Mallorca,58.0,49.0
Spain - La Liga,Osasuna,51.0,59.0
Spain - La Liga,Rayo Vallecano,44.0,53.0
Spain - La Liga,Real Betis,47.0,49.0
Spain - La Liga,Real Madrid,51.0,47.0
Spain - La Liga,Real Sociedad,56.0,49.0
Spain - La Liga,Sevilla FC,54.0,47.0
Spain - La Liga,Valencia,48.0,47.0
Spain - La Liga,Valladolid,55.0,55.0
Spain - La Liga,Villarreal,53.0,37.0
Spain - La Liga 2,Albacete,52.0,44.0
Spain - La Liga 2,Almeria,53.0,40.0
Spain - La Liga 2,Burgos,63.0,56.0
Spain - La Liga 2,Cadiz,55.0,63.0
Spain - La Liga 2,Cartagena,56.0,51.0
Spain - La Liga 2,Castellon,46.0,49.0
Spain - La Liga 2,Cordoba,54.0,55.0
Spain - La Liga 2,Deportivo,51.0,49.0
Spain - La Liga 2,Eibar,38.0,58.0
Spain - La Liga 2,Elche,50.0,48.0
Spain - La Liga 2,Eldense,54.0,57.0
Spain - La Liga 2,Granada,62.0,56.0
Spain - La Liga 2,Huesca,61.0,49.0
Spain - La Liga 2,Levante,53.0,68.0
Spain - La Liga 2,Malaga,61.0,53.0
Spain - La Liga 2,Mirandes,53.0,56.0
Spain - La Liga 2,Racing,48.0,49.0
Spain - La Liga 2,Racing Ferrol,36.0,48.0
Spain - La Liga 2,Real Oviedo,53.0,50.0
Spain - La Liga 2,Real Zaragoza,66.0,41.0
Spain - La Liga 2,Sporting Gijon,59.0,60.0
Spain - La Liga 2,Tenerife,59.0,57.0
Sweden - Allsvenskan,Brommapojkarna,75.0,82.0
Sweden - Allsvenskan,Degerfors,69.0,33.0
Sweden - Allsvenskan,Djurgarden,51.0,62.0
Sweden - Allsvenskan,Elfsborg,71.0,62.0
Sweden - Allsvenskan,GAIS,90.0,90.0
Sweden - Allsvenskan,Hammarby,54.0,28.0
Sweden - Allsvenskan,IFK Goteborg,38.0,55.0
Sweden - Allsvenskan,Mjallby,48.0,69.0
Sweden - Allsvenskan,Norrkoping,53.0,72.0
Sweden - Allsvenskan,Oster,66.0,48.0
Sweden - Allsvenskan,Sirius,52.0,68.0
Sweden - Superettan,Brage,77.0,58.0
Sweden - Superettan,Falkenberg,50.0,29.0
Sweden - Superettan,Helsingborg,87.0,72.0
Sweden - Superettan,Kalmar,58.0,51.0
Sweden - Superettan,Landskrona,80.0,42.0
Sweden - Superettan,Orebro,42.0,52.0
Sweden - Superettan,Orgryte,14.0,29.0
Sweden - Superettan,Ostersunds,63.0,60.0
Sweden - Superettan,Sandviken,56.0,22.0
Sweden - Superettan,Trelleborg,32.0,46.0
Sweden - Superettan,Utsikten,56.0,59.0
Sweden - Superettan,Varberg BoIS,47.0,38.0
Switzerland - Super League,BSC Young Boys,43.0,45.0
Switzerland - Super League,FC Basel,50.0,60.0
Switzerland - Super League,FC Zurich,51.0,45.0
Switzerland - Super League,Grasshopper,40.0,53.0
Switzerland - Super League,Lausanne Sport,45.0,55.0
Switzerland - Super League,Lugano,50.0,57.0
Switzerland - Super League,Luzern,54.0,46.0
Switzerland - Super League,Servette,48.0,58.0
Switzerland - Super League,Sion,49.0,50.0
Switzerland - Super League,St. Gallen,44.0,51.0
Switzerland - Super League,Winterthur,61.0,54.0
Switzerland - Super League,Yverdon,44.0,47.0
Switzerland - Challenge League,Aarau,48.0,34.0
Switzerland - Challenge League,Bellinzona,54.0,46.0
Switzerland - Challenge League,Etoile Carouge,55.0,39.0
Switzerland - Challenge League,Lausanne Ouchy,52.0,46.0
Switzerland - Challenge League,Neuchatel Xamax,56.0,47.0
Switzerland - Challenge League,Schaffhausen,54.0,48.0
Switzerland - Challenge League,Stade Nyonnais,44.0,59.0
Switzerland - Challenge League,Thun,55.0,61.0
Switzerland - Challenge League,Vaduz,48.0,51.0
Switzerland - Challenge League,Wil,46.0,58.0
Thailand - Thai League 1,Bangkok Utd,46.0,57.0
Thailand - Thai League 1,Buriram Utd,56.0,52.0
Thailand - Thai League 1,Chiangrai Utd,65.0,48.0
Thailand - Thai League 1,Khon Kaen Utd,53.0,52.0
Thailand - Thai League 1,Lamphun Warrior,49.0,50.0
Thailand - Thai League 1,Muang Thong Utd,42.0,39.0
Thailand - Thai League 1,N. Bua Pitchaya,62.0,53.0
Thailand - Thai League 1,N. Ratchasima,48.0,59.0
Thailand - Thai League 1,Nakhon Pathom,56.0,56.0
Thailand - Thai League 1,Pathum Utd,50.0,58.0
Thailand - Thai League 1,Port FC,49.0,43.0
Thailand - Thai League 1,Prachuap,53.0,48.0
Thailand - Thai League 1,Ratchaburi,44.0,54.0
Thailand - Thai League 1,Rayong,56.0,52.0
Thailand - Thai League 1,Sukhothai,59.0,54.0
Thailand - Thai League 1,Uthai Thani,47.0,54.0
Turkey - Super Lig,Adana Demirspor,63.0,47.0
Turkey - Super Lig,Alanyaspor,34.0,53.0
Turkey - Super Lig,Antalyaspor,50.0,45.0
Turkey - Super Lig,Basaksehir,58.0,59.0
Turkey - Super Lig,Besiktas,57.0,39.0
Turkey - Super Lig,Bodrumspor,54.0,47.0
Turkey - Super Lig,Eyupspor,40.0,65.0
Turkey - Super Lig,Fenerbahce,50.0,56.0
Turkey - Super Lig,Galatasaray,45.0,51.0
Turkey - Super Lig,Gaziantep,57.0,53.0
Turkey - Super Lig,Goztepe,44.0,45.0
Turkey - Super Lig,Hatayspor,43.0,53.0
Turkey - Super Lig,Kasimpasa,61.0,50.0
Turkey - Super Lig,Kayserispor,50.0,59.0
Turkey - Super Lig,Konyaspor,53.0,45.0
Turkey - Super Lig,Rizespor,51.0,49.0
Turkey - Super Lig,Samsunspor,58.0,52.0
Turkey - Super Lig,Sivasspor,51.0,47.0
Turkey - Super Lig,Trabzonspor,41.0,58.0
UAE - Pro League,Ajman,67.0,49.0
UAE - Pro League,Al Ain,51.0,56.0
UAE - Pro League,Al Bataeh,46.0,53.0
UAE - Pro League,Al Jazira,44.0,53.0
UAE - Pro League,Al Nasr,62.0,51.0
UAE - Pro League,Al Sharjah,60.0,66.0
UAE - Pro League,Al Urooba,50.0,52.0
UAE - Pro League,Al Wahda,52.0,43.0
UAE - Pro League,Al Wasl,52.0,53.0
UAE - Pro League,Bani Yas,33.0,56.0
UAE - Pro League,Dibba Al Hisn,56.0,44.0
UAE - Pro League,Ittihad Kalba,48.0,53.0
UAE - Pro League,Khorfakkan,50.0,47.0
UAE - Pro League,Shabab Al Ahli,54.0,68.0
Ukraine - Premier League,Chornomorets,64.0,42.0
Ukraine - Premier League,Dynamo Kyiv,43.0,44.0
Ukraine - Premier League,Inhulets,39.0,52.0
Ukraine - Premier League,Karpaty Lviv,45.0,59.0
Ukraine - Premier League,Kolos Kovalivka,48.0,49.0
Ukraine - Premier League,Kryvbas KR,50.0,43.0
Ukraine - Premier League,Livyi Bereh,63.0,60.0
Ukraine - Premier League,LNZ Cherkasy,50.0,46.0
Ukraine - Premier League,Obolon,47.0,51.0
Ukraine - Premier League,Oleksandria,41.0,61.0
Ukraine - Premier League,Polessya,49.0,49.0
Ukraine - Premier League,Rukh Lviv,62.0,51.0
Ukraine - Premier League,Shakhtar,48.0,68.0
Ukraine - Premier League,Veres,39.0,48.0
Ukraine - Premier League,Vorskla Poltava,68.0,48.0
Ukraine - Premier League,Zorya Luhansk,40.0,52.0
USA - MLS,Atlanta Utd,69.0,62.0
USA - MLS,Austin,45.0,55.0
USA - MLS,CF Montreal,54.0,50.0
USA - MLS,Charlotte,47.0,54.0
USA - MLS,Chicago Fire,50.0,35.0
USA - MLS,Cincinnati,55.0,45.0
USA - MLS,Colorado Rapids,42.0,34.0
USA - MLS,Columbus Crew,41.0,30.0
USA - MLS,Dallas,56.0,30.0
USA - MLS,DC United,57.0,48.0
USA - MLS,Houston Dynamo,13.0,39.0
USA - MLS,Inter Miami,46.0,48.0
USA - MLS,LA Galaxy,59.0,41.0
USA - MLS,Los Angeles FC,48.0,52.0
USA - MLS,Minnesota Utd,26.0,77.0
USA - MLS,Nashville SC,43.0,49.0
USA - MLS,New England,31.0,57.0
USA - MLS,New York City,39.0,63.0
USA - MLS,New York RB,45.0,63.0
USA - MLS,Orlando City,58.0,44.0
USA - MLS,Philadelphia,62.0,44.0
USA - MLS,Portland,44.0,40.0
USA - MLS,Real Salt Lake,19.0,53.0
USA - MLS,San Diego,66.0,33.0
USA - MLS,Seattle,48.0,32.0
USA - MLS,SJ Earthquakes,47.0,45.0
USA - MLS,Sporting KC,42.0,56.0
USA - MLS,St. Louis City,59.0,56.0
USA - MLS,Toronto,62.0,53.0
USA - MLS,Vancouver,45.0,73.0
USL Championship,Birmingham L.,54.0,40.0
USL Championship,Charleston,45.0,28.0
USL Championship,Colorado S.,58.0,57.0
USL Championship,Detroit City,75.0,51.0
USL Championship,El Paso,41.0,59.0
USL Championship,Indy Eleven,29.0,72.0
USL Championship,Lexington,55.0,40.0
USL Championship,Loudoun Utd,49.0,45.0
USL Championship,Louisville City,62.0,59.0
USL Championship,Miami FC,26.0,65.0
USL Championship,Monterey Bay,75.0,40.0
USL Championship,New Mexico,60.0,64.0
USL Championship,North Carolina,74.0,55.0
USL Championship,Oakland Roots,59.0,56.0
USL Championship,Phoenix Rising,61.0,43.0
USL Championship,Pittsburgh,48.0,62.0
USL Championship,Rhode Island,35.0,37.0
USL Championship,Sacramento R.,56.0,51.0
USL Championship,San Antonio,41.0,11.0
USL Championship,Tampa Bay,50.0,53.0
USA - USL League One,Alta,8.0,39.0
USA - USL League One,Chattanooga RW,43.0,53.0
USA - USL League One,Forward Madison,59.0,49.0
USA - USL League One,One Knoxville,54.0,44.0
USA - USL League One,Portland Hearts,81.0,44.0
USA - USL League One,Richmond K.,41.0,30.0
USA - USL League One,Texoma,60.0,51.0
USA - USL League One,Tormenta,64.0,74.0
USA - USL League One,Union Omaha,51.0,50.0
USA - USL League One,Westchester SC,44.0,18.0
